Agent, Computer Name, Duration of Call, LOB, Type, Message,
jemcavin,ausrca0052,94 min,Café,Café,software not communicating
mwildman,ausrca0229,55 min,Café,Café,Host and 2 client installs/printer insta
pgarza,ausrcwb148,53 min,FXRS,FSMS,Intl OpenShip Postal Error
sroberts,ausrca0072,46 min,Café,Café,Assisted w/C.I. font issue/Escalated
wcrosby,ausrca0071,44 min,FXRS,WIS,cust  app no longer printing labels
mendrys,ausrca0070,30 min,Café,Café,assist with tracking numbers and reports
rhagemann,ausrcwa043,28 min,FXRS,Misdirect,Tracking Number Format
chkelley,ausrca0055,25 min,Café,Café,upgrade failure
rhagemann,ausrcwa043,24 min,Café,Café,URSA Expired
gdeharo,ausrca0050,15 min,FXRS,WIS,register web services
pgarza,ausrcwb148,14 min,Café,Café,FSM Collect Ship Assist
mwildman,ausrca0229,12 min,Café,Café,Freight Box
mendrys,ausrca0070,12 min,FXRS,WIS,Canadian customer
ianderson,auswlspigelmire,11 min,Café,Café,zp505 garbled printing
wcrosby,ausrca0071,10 min,Café,Café,printer install
mendrys,ausrca0070,10 min,Café,Café,expired URSA
jemcavin,ausrca0052,10 min,FXRS,FSMS,scale not working
mbarth,auswrca0230,10 min,FXRS,WIS,namespace
gdeharo,ausrca0050,8 min,FXRS,WIS,issues with rates not showing up
jemcavin,ausrca0052,8 min,FXRS,Café,non working hwo system
jemcavin,ausrca0052,8 min,FXRS,WIS,international shipping error
pgarza,ausrcwb148,8 min,Café,Café,FSM Missing Service Type
jemcavin,ausrca0052,8 min,FXRS,FSMS,question about sp customs docs
rhagemann,ausrcwa043,7.5 min,Café,Café,Validation
sroberts,ausrca0072,6 min,Café,Café,Assisted w/FSM Upgrade Prompt
anewman,ausrca0074,6 min,Café,Café,Invalid stock type
mendrys,ausrca0070,5 min,Café,Café,windows password
mendrys,ausrca0070,5 min,Café,Café,printer
sroberts,ausrca0072,4 min,FXRS,Misdirect,Dot Com Transfer
jemcavin,ausrca0052,4 min,FXRS,Café,tax ID question
sroberts,ausrca0072,3 min,FXRS,Misdirect,Dot Com Transfer
anewman,ausrca0074,3 min,FXRS,FSMS,TD shipments
macampbell,auscrwfxrs3,2 min,Café,Café,Upgrade very slow computer to 3009
mendrys,ausrca0070,2 min,FXRS,WIS,CERT FOLLOW UP
mendrys,ausrca0070,1 min,FXRS,Misdirect,dotcom
mendrys,ausrca0070,1 min,FXRS,Misdirect,Fedex Employee equipment
